order.id;order.line;order.date;customer.id;product.id;quantity
1;1;07-01-2011;2;48;1
1;2;07-01-2011;2;52;1
2;1;10-01-2011;10;76;1
2;2;10-01-2011;10;52;1
3;1;10-01-2011;6;2;1
3;2;10-01-2011;6;50;1
3;3;10-01-2011;6;1;1
3;4;10-01-2011;6;4;1
3;5;10-01-2011;6;34;1
4;1;11-01-2011;22;26;1
5;1;11-01-2011;8;96;1
5;2;11-01-2011;8;66;2
5;3;11-01-2011;8;35;1
5;4;11-01-2011;8;72;1
6;1;11-01-2011;16;45;1
6;2;11-01-2011;16;39;1
6;3;11-01-2011;16;87;1
6;4;11-01-2011;16;31;1
7;1;12-01-2011;9;2;1
7;2;12-01-2011;9;15;1
7;3;12-01-2011;9;10;1
7;4;12-01-2011;9;65;1
7;5;12-01-2011;9;87;1
7;6;12-01-2011;9;55;1
7;7;12-01-2011;9;7;1
7;8;12-01-2011;9;67;1
7;9;12-01-2011;9;61;1
7;10;12-01-2011;9;18;2
7;11;12-01-2011;9;96;1
7;12;12-01-2011;9;42;1
7;13;12-01-2011;9;56;1
7;14;12-01-2011;9;93;2
8;1;12-01-2011;16;35;1
8;2;12-01-2011;16;96;3
9;1;17-01-2011;25;29;1
9;2;17-01-2011;25;13;2
9;3;17-01-2011;25;18;1
9;4;17-01-2011;25;16;1
9;5;17-01-2011;25;36;5
10;1;17-01-2011;20;19;1
11;1;18-01-2011;19;11;1
11;2;18-01-2011;19;13;2
11;3;18-01-2011;19;10;1
11;4;18-01-2011;19;39;1
11;5;18-01-2011;19;23;1
11;6;18-01-2011;19;65;1
11;7;18-01-2011;19;43;1
12;1;20-01-2011;6;27;2
12;2;20-01-2011;6;49;1
12;3;20-01-2011;6;67;1
12;4;20-01-2011;6;11;1
12;5;20-01-2011;6;26;1
12;6;20-01-2011;6;39;1
12;7;20-01-2011;6;28;1
12;8;20-01-2011;6;32;1
12;9;20-01-2011;6;22;1
12;10;20-01-2011;6;13;1
12;11;20-01-2011;6;29;1
12;12;20-01-2011;6;63;1
12;13;20-01-2011;6;31;1
12;14;20-01-2011;6;15;1
12;15;20-01-2011;6;40;1
12;16;20-01-2011;6;10;3
12;17;20-01-2011;6;37;1
12;18;20-01-2011;6;8;1
12;19;20-01-2011;6;57;1
13;1;20-01-2011;7;4;1
13;2;20-01-2011;7;18;1
14;1;24-01-2011;14;87;1
14;2;24-01-2011;14;76;1
14;3;24-01-2011;14;69;1
15;1;25-01-2011;13;3;1
15;2;25-01-2011;13;35;1
15;3;25-01-2011;13;65;3
15;4;25-01-2011;13;5;1
15;5;25-01-2011;13;19;1
15;6;25-01-2011;13;84;2
15;7;25-01-2011;13;90;1
15;8;25-01-2011;13;16;1
15;9;25-01-2011;13;1;1
15;10;25-01-2011;13;88;1
15;11;25-01-2011;13;44;1
15;12;25-01-2011;13;22;2
16;1;25-01-2011;9;73;4
16;2;25-01-2011;9;91;1
16;3;25-01-2011;9;95;1
16;4;25-01-2011;9;94;1
16;5;25-01-2011;9;3;1
16;6;25-01-2011;9;72;1
16;7;25-01-2011;9;65;1
16;8;25-01-2011;9;49;2
17;1;26-01-2011;5;38;1
18;1;28-01-2011;8;21;1
18;2;28-01-2011;8;64;1
19;1;28-01-2011;2;66;2
19;2;28-01-2011;2;61;1
20;1;28-01-2011;10;9;1
20;2;28-01-2011;10;14;1
20;3;28-01-2011;10;50;1
20;4;28-01-2011;10;85;1
20;5;28-01-2011;10;16;1
20;6;28-01-2011;10;27;1
20;7;28-01-2011;10;79;1
20;8;28-01-2011;10;78;1
20;9;28-01-2011;10;77;1
